feature,mean_importance
Marital Status,-0.00466850643372434
Inflation rate,-0.002991234293781697
Mother's qualification,-0.0003386978722855538
Curricular units 2nd sem (without evaluations),0.0008465705392881606
Previous qualification (grade),0.0010557367082913327
Application order,0.001509745017872488
Father's qualification,0.002252323230655917
Curricular units 1st sem (without evaluations),0.0028517674621407973
Previous qualification,0.003850607774456094
Daytime/evening attendance,0.004007784978782181
Application mode,0.004844210399399573
GDP,0.005097997127743193
Admission grade,0.006413180152793641
Debtor,0.00705090299935891
Displaced,0.007868679185635519
Unemployment rate,0.008142434293107658
Gender,0.008397697677285754
Mother's occupation,0.009253194306297475
Curricular units 1st sem (evaluations),0.009811282355418015
Scholarship holder,0.012250895593351551
Age at enrollment,0.013704642301338454
Curricular units 1st sem (grade),0.014926143149112137
Curricular units 1st sem (enrolled),0.018316102483711894
Curricular units 1st sem (credited),0.03877459283261438
Curricular units 2nd sem (evaluations),0.0473803000427806
Course,0.07113812284266016
Tuition fees up to date,0.137148492135833
Curricular units 2nd sem (grade),0.3340925401780639
Curricular units 1st sem (approved),0.39464868588484175
