Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Admission grade,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,target
1,17,5,171,1,1,122.0,19,12,5,127.3,1,0,1,1,0,20,0,0,0,0,0.0,0,0,0.0,0,10.8,1.4,1.74,0
1,15,1,9254,1,1,160.0,1,3,3,142.5,1,0,0,1,0,19,0,6,6,6,14.0,0,6,13.66666667,0,13.9,-0.3,0.79,2
1,1,5,9070,1,1,122.0,37,37,9,124.8,1,0,0,1,0,19,0,6,0,0,0.0,0,0,0.0,0,10.8,1.4,1.74,0
1,17,2,9773,1,1,122.0,38,37,5,119.6,1,0,1,0,0,20,0,6,8,6,13.42857143,0,10,12.4,0,9.4,-0.8,-3.12,2
2,39,1,8014,0,1,100.0,37,38,9,141.5,0,0,1,0,0,45,0,6,9,5,12.33333333,0,6,13.0,0,13.9,-0.3,0.79,2
2,39,1,9991,0,19,133.1,37,37,9,114.8,0,1,1,1,0,50,0,5,10,5,11.85714286,0,17,11.5,5,16.2,0.3,-0.92,2
1,1,1,9500,1,1,142.0,19,38,7,128.4,1,0,1,0,1,18,0,7,9,7,13.3,0,8,14.345,0,15.5,2.8,-4.06,2
1,18,4,9254,1,1,119.0,37,37,9,113.1,1,0,0,1,0,22,0,5,5,0,0.0,0,5,0.0,0,15.5,2.8,-4.06,0
1,1,3,9238,1,1,137.0,1,1,9,129.3,0,0,1,0,1,21,0,6,8,6,13.875,0,7,14.14285714,0,16.2,0.3,-0.92,2
1,1,1,9238,1,1,138.0,1,19,4,123.0,1,1,0,0,0,18,0,6,9,5,11.4,0,14,13.5,0,8.9,1.4,3.51,0
1,1,1,9670,1,1,139.0,38,19,5,130.6,1,0,1,0,0,18,0,6,6,6,12.33333333,0,7,14.2,0,13.9,-0.3,0.79,2
